threshold,global_dice,pixel_precision,pixel_recall,mean_patient_dice,median_patient_dice,worst_patient_dice,volume_104_dice,volume_116_dice,q1_detected_pct,positive_predicted_empty_pct,empty_slice_false_positive_pct,predicted_tumor_pixels,continuation_targets_passed,all_continuation_targets_passed,final_targets_passed,all_final_targets_passed
0.05000000074505806,0.5750697688725546,0.6585029462168698,0.5104012664389139,0.34172484590787655,0.3380677824021842,0.013755476783523308,0.07975346525394465,0.013755476783523308,42.96577946768061,36.2763915547025,3.5362439074976666,511164,5,False,1,False
0.10000000149011612,0.5764166371920656,0.6819514216168626,0.49916829293071735,0.3475542405711707,0.3541574362200328,0.01312535422347155,0.07683814238101346,0.01312535422347155,42.96577946768061,36.2763915547025,3.505133257285077,482725,5,False,1,False
0.15000000596046448,0.576167541726572,0.6969870455225374,0.4910468288230094,0.3518474218180707,0.3689410312798794,0.012684417122592285,0.07497228937814704,0.012684417122592285,42.96577946768061,36.37236084452975,3.4947630405475474,464627,5,False,1,False
0.20000000298023224,0.5754319056973329,0.708221971056889,0.4845751318828119,0.3544217983150509,0.37605208839510046,0.012419957058853444,0.07375951131880615,0.012419957058853444,42.96577946768061,36.37236084452975,3.4740226070724876,451230,5,False,1,False
0.30000001192092896,0.5730530662179065,0.7266051669969886,0.47307831693422314,0.3582894798429225,0.3894455578841941,0.011784826880429929,0.07154208755459204,0.011784826880429929,42.96577946768061,36.46833013435701,3.453282173597428,429379,5,False,1,False
0.3499999940395355,0.5714629852686265,0.7345889717564725,0.46762104484243056,0.3602046920774401,0.3976648352682581,0.011441485074986657,0.07072097606998246,0.011441485074986657,42.585551330798474,36.56429942418426,3.4325417401223683,419813,5,False,1,False
0.4000000059604645,0.569401874888268,0.7419111326484146,0.4619818131365743,0.3616142735556412,0.4049746016106192,0.011226302367269151,0.06944031164187736,0.011226302367269151,42.585551330798474,36.75623800383877,3.4221715233848387,410657,5,False,1,False
0.44999998807907104,0.5669985357060113,0.7488445025200672,0.45621369337075635,0.36285574485168437,0.41008223106720015,0.010997105351164342,0.06829731012848707,0.010997105351164342,42.585551330798474,36.85220729366603,3.4221715233848387,401775,5,False,1,False
0.5,0.5642022791620795,0.7558015185541653,0.4500998503382174,0.363902230361049,0.4151012220654566,0.01078020785500504,0.06718626946382444,0.01078020785500504,42.585551330798474,36.85220729366603,3.4221715233848387,392742,5,False,1,False
0.550000011920929,0.5612766915640418,0.7624248987369452,0.4441088300451715,0.3644475634966947,0.41962460519984673,0.010615532819512568,0.06595379970252832,0.010615532819512568,42.585551330798474,36.85220729366603,3.4118013066473085,384148,5,False,1,False
0.6000000238418579,0.5580796081026355,0.7686127405988534,0.43808293415943,0.3645500967728056,0.42483907621642575,0.010424480722403422,0.06455658243962056,0.010424480722403422,42.585551330798474,37.04414587332054,3.401431089909779,375885,5,False,1,False
0.699999988079071,0.5506937850493268,0.7812862205777461,0.42519867715360576,0.36536196111022573,0.4339734707119434,0.00995192277223846,0.061754923845698174,0.00995192277223846,42.585551330798474,37.04414587332054,3.391060873172249,358912,4,False,1,False
