volume_id,true_pixels,predicted_pixels,intersection_pixels,micro_dice,positive_predicted_empty_pct,empty_slice_false_positive_pct,threshold
104,69032,6576,3015,0.07975346525394465,64.75409836065573,3.793626707132018,0.05000000074505806
105,0,1645,0,6.079027351927642e-10,0.0,1.9269776876267748,0.05000000074505806
106,0,1617,0,6.184291894753065e-10,0.0,3.8910505836575875,0.05000000074505806
107,1473,6608,698,0.17275089726856196,57.74647887323944,8.571428571428571,0.05000000074505806
108,363698,385050,286136,0.7643052135033892,9.405940594059405,0.0,0.05000000074505806
109,18200,24934,10076,0.46719525201773093,12.977099236641221,2.08,0.05000000074505806
110,31120,32377,20777,0.6544246184913551,16.923076923076923,0.8746355685131195,0.05000000074505806
111,1830,5281,1202,0.3380677824021842,46.73913043478261,3.587443946188341,0.05000000074505806
112,295,2853,160,0.1016518427250153,38.46153846153846,4.137931034482759,0.05000000074505806
113,21076,34629,13470,0.4836190647251841,17.037037037037038,1.854493580599144,0.05000000074505806
114,0,755,0,1.3245033095039691e-09,0.0,1.0638297872340425,0.05000000074505806
115,0,6173,0,1.619957880832665e-10,0.0,11.82033096926714,0.05000000074505806
116,152763,2666,1069,0.013755476783523308,93.23308270676692,1.5483870967741935,0.05000000074505806
104,69032,6139,2888,0.07683814238101346,64.75409836065573,3.793626707132018,0.10000000149011612
105,0,1527,0,6.548788469843622e-10,0.0,1.9269776876267748,0.10000000149011612
106,0,1506,0,6.640106237290765e-10,0.0,3.8910505836575875,0.10000000149011612
107,1473,6136,672,0.17663293479082234,57.74647887323944,8.571428571428571,0.10000000149011612
108,363698,364324,279741,0.7684960069891178,9.405940594059405,0.0,0.10000000149011612
109,18200,23189,9900,0.4783879774945423,12.977099236641221,2.08,0.10000000149011612
110,31120,30677,20341,0.6583167467731715,16.923076923076923,0.8746355685131195,0.10000000149011612
111,1830,4941,1199,0.3541574362200328,46.73913043478261,3.587443946188341,0.10000000149011612
112,295,2652,160,0.10858500199912284,38.46153846153846,4.0,0.10000000149011612
113,21076,32729,13275,0.4934485642692417,17.037037037037038,1.854493580599144,0.10000000149011612
114,0,707,0,1.4144271550008101e-09,0.0,1.0638297872340425,0.10000000149011612
115,0,5689,0,1.75777816808617e-10,0.0,11.702127659574469,0.10000000149011612
116,152763,2509,1019,0.01312535422347155,93.23308270676692,1.4193548387096775,0.10000000149011612
104,69032,5849,2807,0.07497228937814704,65.57377049180327,3.793626707132018,0.15000000596046448
105,0,1453,0,6.882312452248924e-10,0.0,1.9269776876267748,0.15000000596046448
106,0,1416,0,7.062146887667975e-10,0.0,3.8910505836575875,0.15000000596046448
107,1473,5816,660,0.18109480049648857,57.74647887323944,8.571428571428571,0.15000000596046448
108,363698,351460,275106,0.7693572609132956,9.405940594059405,0.0,0.15000000596046448
109,18200,22119,9769,0.48458543119907277,12.977099236641221,2.08,0.15000000596046448
110,31120,29512,20028,0.6606412455525029,16.923076923076923,0.8746355685131195,0.15000000596046448
111,1830,4648,1195,0.3689410312798794,46.73913043478261,3.587443946188341,0.15000000596046448
112,295,2499,160,0.11453113847010339,38.46153846153846,4.0,0.15000000596046448
113,21076,31463,13130,0.49981918195055447,17.037037037037038,1.854493580599144,0.15000000596046448
114,0,667,0,1.499250372564842e-09,0.0,1.0638297872340425,0.15000000596046448
115,0,5337,0,1.873711822770524e-10,0.0,11.583924349881796,0.15000000596046448
116,152763,2388,984,0.012684417122592285,93.23308270676692,1.4193548387096775,0.15000000596046448
104,69032,5616,2753,0.07375951131880615,65.57377049180327,3.793626707132018,0.20000000298023224
105,0,1393,0,7.178750892190415e-10,0.0,1.9269776876267748,0.20000000298023224
106,0,1344,0,7.440476184940121e-10,0.0,3.761348897535668,0.20000000298023224
107,1473,5586,643,0.18217877897971685,57.74647887323944,8.571428571428571,0.20000000298023224
