volume_id,slice_index,image_best_transform,image_correlation,mask_best_transform,mask_dice,image_mask_transform_agree
7,373,rot90,0.8429256750656436,rot90,0.9871213495374569,True
8,379,rot90,0.871145374384906,rot90,0.9893942964883338,True
9,386,rot90,0.8717612536398878,rot90,0.9863994273443092,True
78,166,transpose,0.7011299011960672,transpose,0.993562874251497,True
79,116,transpose,0.84338685750425,transpose,0.992509782001118,True
80,162,transpose,0.8804026315526122,transpose,0.9927595628415301,True
81,246,transpose,0.6410024409336013,transpose,0.9897140700198169,True
82,400,transpose,0.8312408314419465,transpose,0.9928663708363759,True
83,570,transpose,0.9141797833403439,anti_transpose,0.9887820512820513,False
84,554,transpose,0.8818361232650683,anti_transpose,0.9939249988580825,False
85,417,transpose,0.8303617740011727,anti_transpose,0.9919823611946282,False
86,496,transpose,0.8909125547216412,anti_transpose,0.9908408674584884,False
87,575,transpose,0.7406261635282981,anti_transpose,0.9945134575569358,False
88,447,transpose,0.7800110029971311,anti_transpose,0.9932005828071879,False
89,496,transpose,0.7583414697047204,anti_transpose,0.9937996681512532,False
90,440,transpose,0.8121085447430787,anti_transpose,0.9935750073681108,False
91,470,transpose,0.7580921531540256,anti_transpose,0.9934500416815529,False
92,464,transpose,0.7741491268707198,anti_transpose,0.9914209419919323,False
93,441,transpose,0.7399192338025249,anti_transpose,0.9937584454024837,False
94,577,transpose,0.9250903341946466,anti_transpose,0.9919403892944039,False
95,506,transpose,0.7084507912239517,anti_transpose,0.9936556274584444,False
96,607,transpose,0.9185096392667491,anti_transpose,0.9940971856224307,False
97,574,transpose,0.9024189606525576,anti_transpose,0.9946478633930848,False
98,569,transpose,0.9096004163539101,anti_transpose,0.9946606484284692,False
99,549,transpose,0.8773547905388923,anti_transpose,0.9937353667025248,False
