epoch,volume_id,micro_dice,true_pixels,predicted_pixels,positive_slices,positive_slice_recall,positive_predicted_empty_pct,empty_slice_false_positive_pct
1,104,0.38261363406504056,69032,29574,122,0.4918032786885246,18.852459016393443,28.224582701062214
1,105,9.782055796750576e-12,0,102228,0,0.0,0.0,52.6369168356998
1,106,4.945843018697965e-11,0,20219,0,0.0,0.0,47.60051880674449
1,107,0.06755009701209061,1473,17091,71,0.4507042253521127,38.028169014084504,30.857142857142858
1,108,0.7276936944212674,363698,379612,202,0.9207920792079208,0.49504950495049505,30.581039755351682
1,109,0.3340621697581345,18200,36682,131,0.8473282442748091,7.633587786259542,34.72
1,110,0.5433120595741372,31120,29048,130,0.8153846153846154,10.76923076923077,34.40233236151604
1,111,0.045096375337513706,1830,47664,92,0.6413043478260869,10.869565217391305,41.70403587443946
1,112,0.007642833298370305,295,47593,26,0.6923076923076923,0.0,59.44827586206897
1,113,0.28989754399420775,21076,67645,135,0.8740740740740741,4.444444444444445,40.798858773181166
1,114,7.764577994583074e-11,0,12879,0,0.0,0.0,32.74231678486998
1,115,9.260202427939325e-12,0,107989,0,0.0,0.0,54.60992907801418
1,116,0.14117655994007391,152763,110581,133,0.48120300751879697,3.007518796992481,40.774193548387096
2,104,0.12804325988009224,69032,11597,122,0.3114754098360656,16.39344262295082,11.836115326251896
2,105,1.6455487902508557e-10,0,6077,0,0.0,0.0,18.559837728194726
2,106,9.000900089198838e-11,0,11110,0,0.0,0.0,25.03242542153048
2,107,0.05658414818274848,1473,12948,71,0.38028169014084506,22.535211267605632,26.142857142857142
2,108,0.7414551570667781,363698,372360,202,0.9257425742574258,1.4851485148514851,12.232415902140673
2,109,0.42402971810150575,18200,25679,131,0.8320610687022901,3.053435114503817,17.6
2,110,0.6744406906373178,31120,33111,130,0.8923076923076924,3.8461538461538463,14.577259475218659
2,111,0.16617616869713392,1830,12781,92,0.6521739130434783,5.434782608695652,22.57100149476831
2,112,0.01945251302616616,295,22427,26,0.7307692307692307,0.0,38.62068965517241
2,113,0.5107091790929892,21076,46763,135,0.9481481481481482,2.962962962962963,16.405135520684738
2,114,1.3222266294694927e-10,0,7563,0,0.0,0.0,23.167848699763592
2,115,4.264937944971001e-11,0,23447,0,0.0,0.0,29.43262411347518
2,116,0.0059158163006223854,152763,5795,133,0.10526315789473684,61.65413533834587,10.064516129032258
3,104,0.22952505051667615,69032,14619,122,0.3524590163934426,36.0655737704918,9.408194233687405
3,105,1.2565971348006284e-10,0,7958,0,0.0,0.0,17.038539553752535
3,106,1.4970059877998492e-10,0,6680,0,0.0,0.0,23.994811932555123
3,107,0.07231208378494815,1473,15343,71,0.4647887323943662,23.943661971830984,33.42857142857143
3,108,0.7231840919613667,363698,312589,202,0.900990099009901,7.920792079207921,25.535168195718654
3,109,0.452993870825969,18200,34825,131,0.816793893129771,6.106870229007634,27.04
3,110,0.6192267737369904,31120,40114,130,0.9,6.923076923076923,27.259475218658892
3,111,0.08389107916549506,1830,19984,92,0.6086956521739131,20.652173913043477,34.52914798206278
3,112,0.008039265485993922,295,46973,26,0.7692307692307693,3.8461538461538463,52.0
3,113,0.4864074739114634,21076,41863,135,0.837037037037037,14.074074074074074,23.680456490727533
3,114,3.2608341212619154e-11,0,30667,0,0.0,0.0,33.56973995271868
3,115,3.718024984989663e-11,0,26896,0,0.0,0.0,32.6241134751773
3,116,0.0007309899169761906,152763,19606,133,0.03759398496240601,59.3984962406015,22.322580645161292
4,104,0.01815904822821229,69032,7624,122,0.22131147540983606,22.950819672131146,16.69195751138088
4,105,1.8484288351481645e-10,0,5410,0,0.0,0.0,29.006085192697768
4,106,1.0216591743950082e-10,0,9788,0,0.0,0.0,38.26199740596628
4,107,0.11636913203774732,1473,9114,71,0.4647887323943662,21.12676056338028,23.428571428571427
4,108,0.728672873206645,363698,278313,202,0.900990099009901,1.9801980198019802,20.03058103975535
4,109,0.5625050966440375,18200,18589,131,0.8244274809160306,4.580152671755725,13.76
4,110,0.6880710443226357,31120,27435,130,0.8923076923076924,3.076923076923077,20.11661807580175
4,111,0.21153685623077578,1830,10149,92,0.6739130434782609,6.521739130434782,25.71001494768311
4,112,0.01754575981019005,295,27404,26,0.8076923076923077,0.0,43.03448275862069
4,113,0.4968019974775661,21076,37398,135,0.9185185185185185,4.444444444444445,18.687589158345222
4,114,3.425830762786629e-10,0,2919,0,0.0,0.0,21.749408983451538
4,115,5.909117768367954e-11,0,16923,0,0.0,0.0,35.815602836879435
4,116,0.007574056793565159,152763,16499,133,0.37593984962406013,21.804511278195488,24.903225806451612
5,104,0.12287935291870794,69032,7124,122,0.23770491803278687,35.24590163934426,8.952959028831563
5,105,3.373819162154582e-10,0,2964,0,0.0,0.0,16.63286004056795
5,106,2.2482014383434797e-10,0,4448,0,0.0,0.0,21.91958495460441
