arm,epoch,train_loss,minutes,validation_loss,mean_patient_dice,volume_104_dice,volume_116_dice,q1_detected_pct,positive_predicted_empty_pct,empty_slice_false_positive_pct
two_channel,1,0.2608826444306695,13.665245439999854,0.07899784586476453,0.3076923080594979,1.4486035461604966e-11,6.546087730624914e-12,0.0,100.0,0.0
two_channel,2,0.25300623433451047,13.379020425000151,0.20224453039296497,0.009494490503971149,1.4486035461604966e-11,0.0048190932793051155,3.041825095057034,42.80230326295585,13.750907393964534
two_channel,3,0.21907041129684374,13.24318570666704,0.22814616403068735,0.014595651263668517,1.3350956595861858e-11,0.020098614704037926,12.167300380228136,36.37236084452975,18.59379861039096
two_channel,4,0.20253121760610454,13.911194183333524,0.16766136867954287,0.014238343888374354,1.356391997268818e-11,0.03049626043425347,9.125475285171103,38.09980806142035,13.263507207300632
two_channel,5,0.18943918203693144,19.376728029999747,0.16841541519497508,0.01309932276862231,1.3465293206578264e-11,0.012283333949254807,9.125475285171103,40.978886756238005,12.662034636523902
recall_loss,1,0.11992397154940969,262.1142593316666,0.07488365485448395,0.23684743236767952,0.18066116728672504,0.006673455408850505,43.72623574144487,29.270633397312864,5.527325521103391
recall_loss,2,0.09200903006740946,8.884223499999885,0.06669596869866314,0.2570601932229069,0.004650371476710566,0.005317182936995809,34.60076045627377,38.1957773512476,2.8621798195582286
recall_loss,3,0.07917550704056193,9.333240146666746,0.06982376729292908,0.24929858411379577,0.036122817593266555,0.0019270582479269341,43.72623574144487,33.685220729366605,3.9199419267862696
recall_loss,4,0.07185868772905234,9.4148538633337,0.07298756971725193,0.25956093865978885,0.10382162192335558,0.0008532864521328716,47.90874524714829,30.134357005758154,4.842891216426423
recall_loss,5,0.06736530162304091,9.407725503333495,0.06901139815415966,0.2507897248543473,0.032730040609033464,0.00045554825882653666,39.543726235741445,37.3320537428023,3.577724774447786
