volume_id,dice,arm
104,0.0671871817629549,control
105,8.703220183896237e-10,control
106,9.140767816141891e-10,control
107,0.1864602208554669,control
108,0.757812488238537,control
109,0.5068195735816172,control
110,0.6611715376268,control
111,0.4147230321766175,control
112,0.1457564579585994,control
113,0.5240788418620673,control
114,1.8450184467804086e-09,control
115,2.518257365268633e-10,control
116,0.0107802775274465,control
104,1.4486035461604966e-11,two_channel
105,1.0,two_channel
106,1.0,two_channel
107,6.78886625472582e-10,two_channel
108,2.7495339539872377e-12,two_channel
109,5.494505494203598e-11,two_channel
110,3.213367609151241e-11,two_channel
111,5.464480871330884e-10,two_channel
112,3.3898304969836253e-09,two_channel
113,4.74473334576083e-11,two_channel
114,1.0,two_channel
115,1.0,two_channel
116,6.546087730624914e-12,two_channel
104,0.10382162192335558,recall_loss
105,6.422607574551954e-10,recall_loss
106,5.767012684102068e-10,recall_loss
107,0.13768394124917674,recall_loss
108,0.7356248225022233,recall_loss
109,0.6470681625834286,recall_loss
110,0.6490136515088202,recall_loss
111,0.44756335293419813,recall_loss
112,0.08982346856442797,recall_loss
113,0.5628398904931395,recall_loss
114,3.0581039661831683e-09,recall_loss
115,8.928571427774233e-11,recall_loss
116,0.0008532864521328716,recall_loss
