policy,threshold,mean_patient_dice,volume_104_dice,volume_116_dice,q1_detected_pct,positive_predicted_empty_pct,empty_slice_false_positive_pct,targets_passed,all_targets_passed
maximum,0.699999988079071,0.3770866927494516,0.11662697526259982,0.010473553322754188,50.57034220532319,27.447216890595012,5.548065954578451,6,True
mean,0.3499999940395355,0.3748019751082111,0.11763934599344883,0.010471808155638552,50.57034220532319,27.447216890595012,5.548065954578451,6,True
control75_recall25,0.20000000298023224,0.3675688825351014,0.11904978612231275,0.012372611369416666,50.57034220532319,27.351247600767753,5.537695737840921,6,True
control25_recall75,0.20000000298023224,0.3665123751530095,0.13028255450019663,0.010166565433612542,50.57034220532319,26.58349328214971,5.724359639116457,6,True
recall_loss,0.6000000238418579,0.3765875940211553,0.10023956287717371,0.0007116977290326623,47.90874524714829,30.518234165067177,4.791040132738774,5,False
control,0.6499999761581421,0.3654419858499319,0.06313000247134251,0.010207381922906404,42.585551330798474,37.04414587332054,3.391060873172249,5,False
geometric_mean,0.25,0.37078605497110456,0.050336129798178565,6.5284378753425566e-12,40.3041825095057,40.978886756238005,2.519962667219745,4,False
