model,threshold,mean_patient_dice,volume_104_dice,volume_116_dice,q1_detected_pct,positive_predicted_empty_pct,empty_slice_false_positive_pct,targets_passed,all_targets_passed
control,0.05000000074505806,0.34172325480831833,0.0797301765877954,0.013768167231673421,42.96577946768061,36.2763915547025,3.5362439074976666,5,False
control,0.10000000149011612,0.3475343441327893,0.0768893086736343,0.013138319460729058,42.96577946768061,36.2763915547025,3.505133257285077,5,False
control,0.15000000596046448,0.35183139172499184,0.07499899842316478,0.012671526454791323,42.96577946768061,36.37236084452975,3.4947630405475474,5,False
control,0.20000000298023224,0.35444199391346914,0.07373173118094374,0.012419957058853444,42.96577946768061,36.37236084452975,3.463652390334958,5,False
control,0.25,0.3565061561458725,0.07266231499888977,0.012025573704947482,42.96577946768061,36.46833013435701,3.463652390334958,5,False
control,0.30000001192092896,0.35828477004381765,0.07156420444318143,0.011784902939050336,42.96577946768061,36.46833013435701,3.453282173597428,5,False
control,0.3499999940395355,0.3601462919645557,0.07072097606998246,0.011428792815929097,42.585551330798474,36.56429942418426,3.4325417401223683,5,False
control,0.4000000059604645,0.3616056145029103,0.06936291087421395,0.01123914841481992,42.585551330798474,36.75623800383877,3.4325417401223683,5,False
control,0.44999998807907104,0.36284806722144414,0.0682711331670831,0.01100995678067953,42.585551330798474,36.85220729366603,3.4221715233848387,5,False
control,0.5,0.36386253141701125,0.06718626946382444,0.010767421125016045,42.585551330798474,36.85220729366603,3.4221715233848387,5,False
control,0.550000011920929,0.3644290648415984,0.06597921315957476,0.01061546419051839,42.585551330798474,36.94817658349328,3.4118013066473085,5,False
control,0.6000000238418579,0.36453854304980826,0.06455746242465947,0.01042454813586559,42.585551330798474,37.04414587332054,3.401431089909779,5,False
control,0.6499999761581421,0.3654419858499319,0.06313000247134251,0.010207381922906404,42.585551330798474,37.04414587332054,3.391060873172249,5,False
control,0.699999988079071,0.3653682347836264,0.061782297482148536,0.00996486415424856,42.585551330798474,37.04414587332054,3.391060873172249,4,False
recall_loss,0.05000000074505806,0.3522440633887435,0.12777195232011895,0.0014525448521331677,48.28897338403042,29.078694817658352,5.195478585502436,5,False
recall_loss,0.10000000149011612,0.35775533292501166,0.12208520911956568,0.0013258246242875249,48.28897338403042,29.366602687140116,5.143627501814788,5,False
recall_loss,0.15000000596046448,0.36177763790271267,0.11879369827871404,0.0011982297186659823,48.28897338403042,29.46257197696737,5.06066576791455,5,False
recall_loss,0.20000000298023224,0.3649768245691472,0.11614365136990301,0.0011088046892052139,48.28897338403042,29.558541266794624,4.988074250751841,5,False
recall_loss,0.25,0.36721020467525556,0.11370007935580932,0.0010320982621979042,47.90874524714829,29.750479846449135,4.977704034014311,5,False
recall_loss,0.30000001192092896,0.3693636102710911,0.11131897731014982,0.0009938561683554012,47.90874524714829,29.750479846449135,4.956963600539251,5,False
recall_loss,0.3499999940395355,0.3711713424685459,0.10964807279134883,0.0009554921494637913,47.90874524714829,29.846449136276394,4.925852950326662,5,False
recall_loss,0.4000000059604645,0.3727064381640643,0.10778522954216899,0.0008913692270866993,47.90874524714829,29.846449136276394,4.894742300114072,5,False
recall_loss,0.44999998807907104,0.3738263065425087,0.10551225317719279,0.0008659015780030894,47.90874524714829,30.038387715930902,4.874001866639013,5,False
recall_loss,0.5,0.3749461119176922,0.10376941322706569,0.0008532974840598,47.90874524714829,30.134357005758154,4.842891216426423,5,False
recall_loss,0.550000011920929,0.3759718903072972,0.10232033517157697,0.0008019453707005255,47.90874524714829,30.326295585412666,4.822150782951364,5,False
recall_loss,0.6000000238418579,0.3765875940211553,0.10023956287717371,0.0007116977290326623,47.90874524714829,30.518234165067177,4.791040132738774,5,False
recall_loss,0.6499999761581421,0.37655903488988757,0.09810404157481813,0.0006601813621699243,47.90874524714829,30.902111324376197,4.759929482526185,5,False
recall_loss,0.699999988079071,0.376510166254967,0.09555769049841607,0.0006086269699402469,47.52851711026616,30.902111324376197,4.728818832313595,5,False
