sample_id,mean_absolute_error,max_absolute_error
v014_s0520,0.00044526453712023795,0.004276961088180542
v014_s0200,0.0005950439954176545,0.004577971994876862
v088_s0631,0.00038457976188510656,0.004322171211242676
v077_s0069,0.0006919237785041332,0.004362761974334717
v088_s0792,0.00042717004544101655,0.004589468240737915
v030_s0117,0.0006677302881143987,0.0043160319328308105
v068_s0038,0.00048007580335251987,0.004371941089630127
v048_s0078,0.0003795093798544258,0.004437804222106934
v034_s0037,0.0005825461121276021,0.00454963743686676
v019_s0108,0.000566360424272716,0.004597872495651245
v002_s0018,0.0005605130572803319,0.004873618483543396
v012_s0218,0.0006869683274999261,0.004318326711654663
v088_s0086,0.000583044660743326,0.004462301731109619
v094_s0150,0.00043452330282889307,0.004660695791244507
v090_s0406,0.000646758358925581,0.004624724388122559
v059_s0143,0.0007331473752856255,0.004526644945144653
v094_s0577,0.0005584650207310915,0.004368901252746582
v026_s0144,0.0004195561050437391,0.004545032978057861
v041_s0102,0.00033317290944978595,0.0044424086809158325
v026_s0513,0.0002827136486303061,0.004467673599720001
v087_s0012,0.0005794347962364554,0.00428617000579834
v099_s0553,0.0004935454926453531,0.0043252259492874146
v023_s0063,0.0005292354617267847,0.004368096590042114
v078_s0110,0.00044879436609335244,0.004361242055892944
v081_s0235,0.0005187058122828603,0.004785552620887756
v048_s0194,0.000284003239357844,0.004432454705238342
v092_s0114,0.0006119682220742106,0.004499882459640503
v011_s0201,0.0007439810433425009,0.004608608782291412
v010_s0041,0.0005487938178703189,0.004430919885635376
v067_s0143,0.0005274794530123472,0.0044699907302856445
v025_s0404,0.0005040784599259496,0.004492953419685364
v087_s0586,0.0006912543904036283,0.004751086235046387
