volume_id,true_pixels,predicted_pixels,intersection_pixels,micro_dice,tumor_threshold,liver_threshold,dilation_kernel,mode
104,69032,482,9,0.00025894065943178444,0.05000000074505806,,1,raw
105,0,2404,0,4.159733775307931e-10,0.05000000074505806,,1,raw
106,0,1590,0,6.289308172145088e-10,0.05000000074505806,,1,raw
107,1473,4712,256,0.08278092173277592,0.05000000074505806,,1,raw
108,363698,251899,188587,0.6126962931924413,0.05000000074505806,,1,raw
109,18200,22467,13074,0.6429783362519247,0.05000000074505806,,1,raw
110,31120,25370,19913,0.705009736241724,0.05000000074505806,,1,raw
111,1830,4052,874,0.29717783078932714,0.05000000074505806,,1,raw
112,295,5044,157,0.05881251188259739,0.05000000074505806,,1,raw
113,21076,27227,13702,0.5673353622017818,0.05000000074505806,,1,raw
114,0,1,0,9.99999000001e-07,0.05000000074505806,,1,raw
115,0,5079,0,1.9688915136899207e-10,0.05000000074505806,,1,raw
116,152763,761,0,6.513639561198811e-12,0.05000000074505806,,1,raw
104,69032,482,9,0.00025894065943178444,0.05000000074505806,0.30000001192092896,1,liver_supported
105,0,2404,0,4.159733775307931e-10,0.05000000074505806,0.30000001192092896,1,liver_supported
106,0,1590,0,6.289308172145088e-10,0.05000000074505806,0.30000001192092896,1,liver_supported
107,1473,4712,256,0.08278092173277592,0.05000000074505806,0.30000001192092896,1,liver_supported
108,363698,251899,188587,0.6126962931924413,0.05000000074505806,0.30000001192092896,1,liver_supported
109,18200,22467,13074,0.6429783362519247,0.05000000074505806,0.30000001192092896,1,liver_supported
110,31120,25370,19913,0.705009736241724,0.05000000074505806,0.30000001192092896,1,liver_supported
111,1830,4052,874,0.29717783078932714,0.05000000074505806,0.30000001192092896,1,liver_supported
112,295,5044,157,0.05881251188259739,0.05000000074505806,0.30000001192092896,1,liver_supported
113,21076,27227,13702,0.5673353622017818,0.05000000074505806,0.30000001192092896,1,liver_supported
114,0,1,0,9.99999000001e-07,0.05000000074505806,0.30000001192092896,1,liver_supported
115,0,5079,0,1.9688915136899207e-10,0.05000000074505806,0.30000001192092896,1,liver_supported
116,152763,761,0,6.513639561198811e-12,0.05000000074505806,0.30000001192092896,1,liver_supported
104,69032,482,9,0.00025894065943178444,0.05000000074505806,0.30000001192092896,5,liver_supported
105,0,2404,0,4.159733775307931e-10,0.05000000074505806,0.30000001192092896,5,liver_supported
106,0,1590,0,6.289308172145088e-10,0.05000000074505806,0.30000001192092896,5,liver_supported
107,1473,4712,256,0.08278092173277592,0.05000000074505806,0.30000001192092896,5,liver_supported
108,363698,251899,188587,0.6126962931924413,0.05000000074505806,0.30000001192092896,5,liver_supported
109,18200,22467,13074,0.6429783362519247,0.05000000074505806,0.30000001192092896,5,liver_supported
110,31120,25370,19913,0.705009736241724,0.05000000074505806,0.30000001192092896,5,liver_supported
111,1830,4052,874,0.29717783078932714,0.05000000074505806,0.30000001192092896,5,liver_supported
112,295,5044,157,0.05881251188259739,0.05000000074505806,0.30000001192092896,5,liver_supported
113,21076,27227,13702,0.5673353622017818,0.05000000074505806,0.30000001192092896,5,liver_supported
114,0,1,0,9.99999000001e-07,0.05000000074505806,0.30000001192092896,5,liver_supported
115,0,5079,0,1.9688915136899207e-10,0.05000000074505806,0.30000001192092896,5,liver_supported
116,152763,761,0,6.513639561198811e-12,0.05000000074505806,0.30000001192092896,5,liver_supported
104,69032,482,9,0.00025894065943178444,0.05000000074505806,0.30000001192092896,11,liver_supported
105,0,2404,0,4.159733775307931e-10,0.05000000074505806,0.30000001192092896,11,liver_supported
106,0,1590,0,6.289308172145088e-10,0.05000000074505806,0.30000001192092896,11,liver_supported
107,1473,4712,256,0.08278092173277592,0.05000000074505806,0.30000001192092896,11,liver_supported
