tumor_threshold,liver_threshold,dilation_kernel,mode,global_dice,pixel_precision,pixel_recall,mean_patient_dice,median_patient_dice,worst_positive_patient_dice,volume_104_dice,volume_116_dice,q1_detected_pct,positive_predicted_empty_pct,empty_slice_false_positive_pct,predicted_tumor_pixels,pixels_removed_by_liver_support,true_pixels_removed_by_liver_support,false_pixels_removed_by_liver_support
0.05000000074505806,,1,raw,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.30000001192092896,1,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.30000001192092896,5,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.30000001192092896,11,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.30000001192092896,21,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.30000001192092896,31,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.4000000059604645,1,liver_supported,0.46811761574147326,0.6737972332376134,0.35864088298935387,0.32966283758170556,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351024,64,53,11
0.05000000074505806,0.4000000059604645,5,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.4000000059604645,11,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.4000000059604645,21,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.4000000059604645,31,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.5,1,liver_supported,0.46784473142215255,0.6736675275217067,0.35835732925743796,0.3296106025069244,0.29717783078932714,6.513851705609638e-12,0.00025894065943178444,6.513851705609638e-12,29.65779467680608,44.6257197696737,3.463652390334958,350814,274,240,34
0.05000000074505806,0.5,5,liver_supported,0.4681898289391581,0.673823507630609,0.3587182158253309,0.32967171397359646,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351086,2,2,0
0.05000000074505806,0.5,11,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.5,21,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.5,31,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.6000000238418579,1,liver_supported,0.4675036905690084,0.6735450188291681,0.3579918936991935,0.32953989861218314,0.29717783078932714,6.514191165411506e-12,0.00025894065943178444,6.514191165411506e-12,29.65779467680608,44.6257197696737,3.463652390334958,350520,568,481,87
0.05000000074505806,0.6000000238418579,5,liver_supported,0.4681584600881419,0.6738059157304651,0.35868637289286975,0.32966656596412525,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351064,24,23,1
0.05000000074505806,0.6000000238418579,11,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
0.05000000074505806,0.6000000238418579,21,liver_supported,0.4681928605007365,0.6738253657202753,0.3587212484855653,0.3296722147731686,0.29717783078932714,6.513639561198811e-12,0.00025894065943178444,6.513639561198811e-12,29.65779467680608,44.6257197696737,3.463652390334958,351088,0,0,0
