epoch,volume_id,micro_dice,true_pixels,predicted_pixels,positive_slices,positive_slice_recall,positive_predicted_empty_pct,empty_slice_false_positive_pct
1,104,0.08458268070124147,69032,6941,122,0.30327868852459017,63.9344262295082,17.602427921092566
1,105,1.4086491054879752e-11,0,70990,0,0.0,0.0,60.24340770791075
1,106,5.553087516350894e-11,0,18008,0,0.0,0.0,35.927367055771725
1,107,0.05050100208012016,1473,11002,71,0.30985915492957744,19.718309859154928,24.571428571428573
1,108,0.6843630724297661,363698,300467,202,0.9653465346534653,3.4653465346534653,33.027522935779814
1,109,0.4268396306739127,18200,17106,131,0.7709923664122137,15.267175572519085,15.04
1,110,0.5496560239973435,31120,31239,130,0.8461538461538461,11.538461538461538,30.466472303207
1,111,0.09948040159917872,1830,17993,92,0.5760869565217391,10.869565217391305,37.5186846038864
1,112,0.01620089108885375,295,24395,26,0.7307692307692307,0.0,42.62068965517241
1,113,0.27228810960954547,21076,57172,135,0.8148148148148148,10.37037037037037,48.64479315263909
1,114,1.8453589219698543e-10,0,5419,0,0.0,0.0,25.886524822695037
1,115,1.9221528111115394e-11,0,52025,0,0.0,0.0,51.41843971631206
1,116,0.03929436743972361,152763,44110,133,0.48120300751879697,12.781954887218046,57.67741935483871
2,104,0.03230872172942731,69032,4199,122,0.30327868852459017,31.9672131147541,12.139605462822459
2,105,9.004141904465681e-11,0,11106,0,0.0,0.0,32.1501014198783
2,106,1.0594342619917962e-10,0,9439,0,0.0,0.0,25.03242542153048
2,107,0.12486846726588086,1473,12782,71,0.5492957746478874,21.12676056338028,18.285714285714285
2,108,0.717986552137575,363698,338421,202,0.9108910891089109,2.9702970297029703,16.972477064220183
2,109,0.4421526908775431,18200,21750,131,0.7938931297709924,7.633587786259542,15.04
2,110,0.7035328885550004,31120,35879,130,0.9384615384615385,5.384615384615385,9.7667638483965
2,111,0.17932856056305493,1830,12557,92,0.7717391304347826,1.0869565217391304,23.766816143497756
2,112,0.01797967519247895,295,22731,26,0.7307692307692307,7.6923076923076925,31.862068965517242
2,113,0.5389054092406735,21076,35420,135,0.9185185185185185,2.2222222222222223,8.844507845934379
2,114,2.653223666051148e-10,0,3769,0,0.0,0.0,20.921985815602838
2,115,6.760411032533773e-11,0,14792,0,0.0,0.0,28.250591016548462
2,116,0.04779845169082436,152763,11803,133,0.5263157894736842,15.037593984962406,21.032258064516128
3,104,0.01972578383569637,69032,2955,122,0.21311475409836064,45.08196721311475,9.256449165402124
3,105,2.209456473219298e-10,0,4526,0,0.0,0.0,19.878296146044626
3,106,2.1500752521715595e-10,0,4651,0,0.0,0.0,20.363164721141374
3,107,0.10556647032016156,1473,6162,71,0.39436619718309857,36.61971830985915,15.571428571428571
3,108,0.7328584576599103,363698,282787,202,0.9207920792079208,4.9504950495049505,9.938837920489297
3,109,0.6041930911088514,18200,22009,131,0.816793893129771,9.16030534351145,11.84
3,110,0.6514063873488974,31120,23488,130,0.9307692307692308,6.153846153846154,10.495626822157435
3,111,0.33164958878169293,1830,5099,92,0.717391304347826,9.782608695652174,17.33931240657698
3,112,0.0423618916709292,295,11272,26,0.7307692307692307,7.6923076923076925,28.689655172413794
3,113,0.5163518263578624,21076,27573,135,0.9185185185185185,5.925925925925926,12.981455064194009
3,114,5.175983434173921e-10,0,1932,0,0.0,0.0,15.011820330969266
3,115,6.551362683008951e-11,0,15264,0,0.0,0.0,35.579196217494086
3,116,0.003910367780666586,152763,17042,133,0.2556390977443609,31.57894736842105,22.967741935483872
4,104,0.05708419447181473,69032,4999,122,0.23770491803278687,40.98360655737705,11.229135053110774
4,105,2.2935779811253258e-10,0,4360,0,0.0,0.0,24.949290060851926
4,106,1.341021858476462e-10,0,7457,0,0.0,0.0,21.27107652399481
4,107,0.10576606275028565,1473,4597,71,0.3380281690140845,38.028169014084504,15.571428571428571
4,108,0.718525097235011,363698,256709,202,0.900990099009901,7.425742574257426,9.021406727828746
4,109,0.5770682148142945,18200,23140,131,0.8778625954198473,6.870229007633588,12.8
4,110,0.6286425994170258,31120,23477,130,0.8692307692307693,10.76923076923077,11.807580174927114
4,111,0.3617086663549925,1830,4678,92,0.7065217391304348,8.695652173913043,20.029895366218238
4,112,0.08531144046308915,295,5308,26,0.7307692307692307,7.6923076923076925,25.103448275862068
4,113,0.5950779075717149,21076,24555,135,0.8592592592592593,5.185185185185185,9.557774607703282
4,114,6.447453251806928e-10,0,1551,0,0.0,0.0,10.99290780141844
4,115,1.1830119482807273e-10,0,8453,0,0.0,0.0,30.141843971631207
4,116,0.0014128338838204247,152763,4368,133,0.09022556390977443,49.62406015037594,17.677419354838708
5,104,0.0679454047365954,69032,7971,122,0.19672131147540983,38.52459016393443,17.602427921092566
5,105,2.0929259099847368e-10,0,4778,0,0.0,0.0,23.935091277890468
5,106,1.0476689365062682e-10,0,9545,0,0.0,0.0,38.78080415045395
5,107,0.14010611130476458,1473,8705,71,0.49295774647887325,16.901408450704224,32.0
5,108,0.7350922271050013,363698,280798,202,0.9257425742574258,3.4653465346534653,22.93577981651376
5,109,0.556091808443666,18200,27591,131,0.8931297709923665,3.053435114503817,23.68
5,110,0.6431200478733139,31120,24033,130,0.8615384615384616,6.153846153846154,28.134110787172013
5,111,0.3005901640261521,1830,5795,92,0.6739130434782609,14.130434782608695,31.390134529147982
5,112,0.028703641672006997,295,14616,26,0.7307692307692307,7.6923076923076925,46.206896551724135
5,113,0.5428125325378825,21076,26959,135,0.8592592592592593,5.185185185185185,20.256776034236804
5,114,3.355704696860502e-10,0,2980,0,0.0,0.0,25.177304964539008
5,115,6.663113005952618e-11,0,15008,0,0.0,0.0,45.153664302600475
5,116,0.002590512255099507,152763,7823,133,0.18045112781954886,61.65413533834587,26.193548387096776
6,104,0.04559094789739847,69032,3614,122,0.18032786885245902,53.278688524590166,10.47040971168437
6,105,1.4345144166641062e-10,0,6971,0,0.0,0.0,29.20892494929006
6,106,2.7464982140218353e-10,0,3641,0,0.0,0.0,19.58495460440986
6,107,0.12297989760317503,1473,8675,71,0.4647887323943662,26.760563380281692,21.142857142857142
6,108,0.6230720866606081,363698,205700,202,0.8514851485148515,7.920792079207921,9.785932721712538
6,109,0.4994157571663124,18200,22023,131,0.8549618320610687,3.816793893129771,15.36
6,110,0.6204257824071338,31120,19845,130,0.8615384615384616,11.538461538461538,12.099125364431487
6,111,0.29907946659795615,1830,3493,92,0.532608695652174,19.565217391304348,15.097159940209268
6,112,0.11001737142153521,295,3159,26,0.6153846153846154,3.8461538461538463,22.482758620689655
6,113,0.5553457465985767,21076,20761,135,0.8,11.11111111111111,12.838801711840228
6,114,5.701254272690276e-10,0,1754,0,0.0,0.0,13.947990543735225
6,115,2.2686025403201898e-10,0,4408,0,0.0,0.0,28.13238770685579
6,116,0.001896101148252056,152763,7566,133,0.20300751879699247,55.6390977443609,26.70967741935484
7,104,0.15244365012083316,69032,8741,122,0.2459016393442623,59.01639344262295,8.04248861911988
7,105,1.5346838548903185e-10,0,6516,0,0.0,0.0,22.920892494929006
7,106,1.87582067119193e-10,0,5331,0,0.0,0.0,17.120622568093385
7,107,0.11802232862679228,1473,9813,71,0.4647887323943662,26.760563380281692,22.857142857142858
7,108,0.7166082003701033,363698,272566,202,0.8762376237623762,3.9603960396039604,10.55045871559633
7,109,0.5654799083988137,18200,34633,131,0.9007633587786259,3.053435114503817,24.64
7,110,0.6489647657165099,31120,23940,130,0.8769230769230769,9.23076923076923,9.183673469387756
7,111,0.3545969099962372,1830,4707,92,0.6739130434782609,7.608695652173913,14.200298953662182
7,112,0.04199230152315499,295,8278,26,0.5769230769230769,7.6923076923076925,24.0
7,113,0.605737301034648,21076,25601,135,0.837037037037037,11.11111111111111,8.844507845934379
7,114,4.757373927327605e-10,0,2102,0,0.0,0.0,14.539007092198581
7,115,1.0914647455695846e-10,0,9162,0,0.0,0.0,29.314420803782507
7,116,0.0018561255297576758,152763,8864,133,0.11278195488721804,46.61654135338346,20.64516129032258
8,104,0.0937992399786317,69032,6491,122,0.2540983606557377,39.34426229508197,11.532625189681335
8,105,1.7190991917278494e-10,0,5817,0,0.0,0.0,24.746450304259636
8,106,1.3574046421396218e-10,0,7367,0,0.0,0.0,28.404669260700388
8,107,0.079259135735086,1473,10513,71,0.43661971830985913,16.901408450704224,31.285714285714285
8,108,0.6970673880290847,363698,245520,202,0.9207920792079208,1.9801980198019802,15.290519877675841
8,109,0.5558685446098118,18200,31855,131,0.8778625954198473,0.7633587786259542,35.68
8,110,0.5877267836680939,31120,22786,130,0.8538461538461538,7.6923076923076925,18.950437317784257
8,111,0.09256905898651803,1830,13121,92,0.5217391304347826,15.217391304347826,26.457399103139014
8,112,0.03918629560608283,295,9045,26,0.6538461538461539,11.538461538461538,34.62068965517241
8,113,0.4921805737882162,21076,35322,135,0.8148148148148148,8.148148148148149,23.53780313837375
8,114,1.7998560111951302e-10,0,5556,0,0.0,0.0,23.64066193853428
8,115,1.515610790919125e-10,0,6598,0,0.0,0.0,40.307328605200944
8,116,0.009044702354149722,152763,25684,133,0.44360902255639095,32.330827067669176,30.580645161290324
9,104,0.09757848011619072,69032,6210,122,0.22131147540983606,32.78688524590164,6.22154779969651
9,105,2.1362956628634272e-10,0,4681,0,0.0,0.0,23.225152129817445
9,106,1.4251104458564756e-10,0,7017,0,0.0,0.0,21.40077821011673
9,107,0.1333719919654613,1473,8874,71,0.4788732394366197,23.943661971830984,20.285714285714285
9,108,0.7196524349997586,363698,277103,202,0.8762376237623762,0.0,12.996941896024465
9,109,0.6004295741989675,18200,26961,131,0.8778625954198473,3.053435114503817,16.16
9,110,0.6660604764001915,31120,24968,130,0.9076923076923077,6.153846153846154,6.122448979591836
9,111,0.3282581367050903,1830,5329,92,0.6847826086956522,2.1739130434782608,15.097159940209268
9,112,0.06516613096137917,295,4370,26,0.46153846153846156,11.538461538461538,23.724137931034484
9,113,0.5734889377317853,21076,25795,135,0.837037037037037,7.407407407407407,9.557774607703282
9,114,7.30994151512431e-10,0,1368,0,0.0,0.0,12.76595744680851
9,115,1.7047391746156256e-10,0,5866,0,0.0,0.0,25.059101654846337
9,116,0.0013076088090810494,152763,9365,133,0.11278195488721804,42.10526315789474,25.93548387096774
10,104,0.043526124156102325,69032,1822,122,0.09836065573770492,89.34426229508196,0.9104704097116844
10,105,7.002801115544256e-10,0,1428,0,0.0,0.0,4.056795131845842
10,106,7.610350070311757e-10,0,1314,0,0.0,0.0,4.280155642023346
10,107,0.07140281300551697,1473,4073,71,0.23943661971830985,59.15492957746479,10.571428571428571
10,108,0.6426690563182555,363698,216582,202,0.8663366336633663,12.376237623762377,1.2232415902140672
10,109,0.5912946665361231,18200,19524,131,0.7022900763358778,19.84732824427481,3.68
10,110,0.41754056194554956,31120,9312,130,0.7230769230769231,26.923076923076923,0.2915451895043732
10,111,0.3764595984641617,1830,2452,92,0.44565217391304346,39.130434782608695,1.9431988041853512
10,112,0.08221408258762146,295,2162,26,0.4230769230769231,30.76923076923077,4.689655172413793
10,113,0.44278827671479054,21076,12737,135,0.5185185185185185,42.96296296296296,0.9985734664764622
10,114,4.032258048257024e-09,0,248,0,0.0,0.0,0.8274231678486997
10,115,3.1466331015901093e-10,0,3178,0,0.0,0.0,4.964539007092198
10,116,6.526818697987606e-12,152763,451,133,0.0,94.73684210526316,0.5161290322580645
