role,path,exists,bytes,expected_sha256,actual_sha256,passed
control,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1\mark_4_outputs\mark_4_best.pth,True,82348646,9b0c7749af66b0fc3808f6757d0d90af01384e06afe02090361b220df48b6e8b,9b0c7749af66b0fc3808f6757d0d90af01384e06afe02090361b220df48b6e8b,True
recall_loss,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\mark 1\mark_4c_outputs\recall_loss_best.pth,True,27563606,c01eb4b81e4e7f1d84c7966aca56e738d87d06d404907f0bcc7c67a79ed4ec4d,c01eb4b81e4e7f1d84c7966aca56e738d87d06d404907f0bcc7c67a79ed4ec4d,True
roi_generator,D:\DATA SCIENCE AND ANALYTICS\PROJECTS\Liver\Practice\multitask_liver_tumor_outputs\multitask_best.pth,True,82376439,9c4160bbd68891f9dc4e5f04ceca4391f38c5869b3f81c72b95d4639e0572223,9c4160bbd68891f9dc4e5f04ceca4391f38c5869b3f81c72b95d4639e0572223,True
