configuration,channels,epoch,loss,gradient_finite,hard_micro_dice,positive_predicted_empty_pct
broad_1ch,1,1,0.334356427192688,True,0.664957557122288,12.5
broad_1ch,1,2,0.2702331729233265,True,0.7046363850404614,12.5
broad_1ch,1,3,0.23648491874337196,True,0.7104168537058857,12.5
broad_1ch,1,4,0.21792618930339813,True,0.7056308683143754,6.25
broad_1ch,1,5,0.219367865473032,True,0.7003131899240049,6.25
broad_1ch,1,6,0.20617873035371304,True,0.729167286917468,12.5
broad_1ch,1,7,0.19424166716635227,True,0.7479326895348426,12.5
broad_1ch,1,8,0.17037739604711533,True,0.7561887335052624,6.25
broad_1ch,1,9,0.159103374928236,True,0.7805589436341793,6.25
broad_1ch,1,10,0.14241746813058853,True,0.8061767260148128,6.25
broad_1ch,1,11,0.12638789229094982,True,0.8328165238915011,6.25
broad_1ch,1,12,0.1254880093038082,True,0.8605880240171228,6.25
broad_1ch,1,13,0.1067026425153017,True,0.8834686940532066,6.25
broad_1ch,1,14,0.10032826755195856,True,0.8865750882738441,0.0
broad_1ch,1,15,0.09659967198967934,True,0.8891115049731805,0.0
broad_1ch,1,16,0.09404657408595085,True,0.8995349562261429,0.0
broad_1ch,1,17,0.09180068876594305,True,0.9005570034263234,0.0
broad_liver_2ch,2,1,0.5014749951660633,True,0.5845884599176764,6.25
broad_liver_2ch,2,2,0.3134435601532459,True,0.6179943163619372,0.0
broad_liver_2ch,2,3,0.28505630791187286,True,0.6736792619241441,12.5
broad_liver_2ch,2,4,0.23358992859721184,True,0.7022126102228633,6.25
broad_liver_2ch,2,5,0.23294011875987053,True,0.7161675968238146,6.25
broad_liver_2ch,2,6,0.1997789926826954,True,0.7232459751917077,12.5
broad_liver_2ch,2,7,0.20936263352632523,True,0.7440142765145488,6.25
broad_liver_2ch,2,8,0.16161584854125977,True,0.768022593277312,0.0
broad_liver_2ch,2,9,0.17150802724063396,True,0.7704542978600486,0.0
broad_liver_2ch,2,10,0.1401882842183113,True,0.8015846994589731,0.0
broad_liver_2ch,2,11,0.1263723522424698,True,0.832019998917667,0.0
broad_liver_2ch,2,12,0.11691705882549286,True,0.8319456332884095,0.0
broad_liver_2ch,2,13,0.11360346898436546,True,0.845176740073789,0.0
broad_liver_2ch,2,14,0.10096598230302334,True,0.8565846446336312,0.0
broad_liver_2ch,2,15,0.08750587049871683,True,0.8695563017489156,0.0
broad_liver_2ch,2,16,0.07860252633690834,True,0.8879625604202245,0.0
broad_liver_2ch,2,17,0.06931896694004536,True,0.8958711612879695,0.0
broad_liver_2ch,2,18,0.06981914304196835,True,0.8975973275113042,0.0
broad_liver_2ch,2,19,0.06462491396814585,True,0.8964376143825005,0.0
broad_liver_2ch,2,20,0.06169229652732611,True,0.9038589317683655,0.0
broad_liver_narrow_3ch,3,1,0.6734018921852112,True,0.01854471166543325,68.75
broad_liver_narrow_3ch,3,2,0.6016470938920975,True,0.048637195461396644,31.25
broad_liver_narrow_3ch,3,3,0.5720386356115341,True,0.06365190082388786,12.5
broad_liver_narrow_3ch,3,4,0.5408875793218613,True,0.18795914714262862,25.0
broad_liver_narrow_3ch,3,5,0.4733707308769226,True,0.3368275011817162,6.25
broad_liver_narrow_3ch,3,6,0.4123552292585373,True,0.428538805355804,6.25
broad_liver_narrow_3ch,3,7,0.3793475031852722,True,0.49723471933125385,6.25
broad_liver_narrow_3ch,3,8,0.32519688829779625,True,0.5574313356419248,6.25
broad_liver_narrow_3ch,3,9,0.3025128226727247,True,0.5703897429492125,0.0
broad_liver_narrow_3ch,3,10,0.28709613904356956,True,0.5803441236623361,0.0
